time,open,high,low,close,Volume
2008-05-01,135.5,142,128.8,133.9,254540
2008-06-02,133.85,156.3,130.5,153.2,342182
2008-07-01,153.2,156.2,133.95,139.35,212719
2008-08-01,139.5,152.25,134.8,145.75,294553
2008-09-02,145,148,128.8,130.45,255416
2008-10-01,131.1,131.9,105.05,113,229708
2008-11-03,114,121.15,109.35,116.1,207807
2008-12-01,115.8,116,102.15,112.05,164547
2009-01-02,111.85,123.4,106.05,118.9,188758
2009-02-02,118.9,124.25,110.05,111.9,199746
2009-03-02,111.35,119.2,104.35,115.75,213509
2009-04-01,115.55,122.35,112.75,115.9,203208
2009-05-01,115.7,138.85,115.65,137.4,191140
2009-06-01,137,142.9,117.55,119.9,231611
2009-07-01,119.7,128,113.35,127.85,188056
2009-08-03,128.15,140.5,120.3,122.3,209964
2009-09-01,122.6,138.3,119.9,127.8,177639
2009-10-01,127.5,145.4,125.9,135.5,230087
2009-11-02,135,144,133.05,142,247866
2009-12-01,142,149.5,135.8,135.95,199770
2010-01-04,136,146.95,131.6,131.7,226605
2010-02-01,132,137.35,128.25,131.2,276233
2010-03-01,131.2,139.05,128.7,136.15,241219
2010-04-01,136.55,139.85,130.2,135.3,244959
2010-05-03,135.2,138.7,130.25,134.25,242314
2010-06-01,134,176.5,132.55,165.85,400324
2010-07-01,165.45,178.75,155.8,176.3,230188
2010-08-02,175.6,188.65,165.15,178.45,310666
2010-09-01,179.65,198.65,178.25,183.05,228570
2010-10-01,183.65,204.6,171.6,203.45,249113
2010-11-01,202.8,221.45,192.8,201.2,253694
2010-12-01,201.35,242.25,200.05,240.5,190399
2011-01-03,239,250.75,226.5,244.8,238182
2011-02-01,245.55,278.4,245.35,271.7,238294
2011-03-01,271.9,296.65,257.8,264.15,260692
2011-04-01,265.5,303.4,254.05,299.85,256137
2011-05-02,299.65,308.9,258.6,264.6,249343
2011-06-01,264.25,273.8,241.45,265.6,298371
2011-07-01,264.9,271.9,237.2,239.55,212069
2011-08-01,240.6,288.5,231.35,288.25,319501
2011-09-01,287.15,290.85,228.5,228.9,267377
2011-10-03,228.5,252.5,219.8,226.95,261447
2011-11-01,226.4,243.3,220.45,236.9,226622
2011-12-01,236.1,238.95,212.35,226.85,169294
2012-01-03,226.85,238.5,213.1,215.05,230818
2012-02-01,214.5,224.6,197.8,203.25,280217
2012-03-01,202.95,205.1,174.45,182.45,304502
2012-04-02,182.5,190.45,173.9,179.55,280087
